Year,,Kompüterdən istifadə etmiş müəssisələrin ölkədə fəaliyyət göstərən bütün müəssisələrdə xüsusi çəkisi (faiz),Kompüterdən istifadə etmiş işçilərin fəaliyyət göstərən bütün müəssisələrdə işləyən işçilərin siyahı sayına nisbəti (faiz),İnternetdən istifadə etmiş müəssisələrin fəaliyyət göstərən müəssisələrdə xüsusi çəkisi (faiz),İnternetdən istifadə etmiş işçilərin fəaliyyət göstərən bütün müəssisələrdə işləyən işçilərin siyahı sayına nisbəti (faiz),"Veb səhifəsi (Web Page, Web Site) olan müəssisələrin fəaliyyət göstərən müəssisələrdə xüsusi çəkisi (faiz)","İstifadə etdiyi İKT şəbəkələrinə görə müəssisələrin bölgüsü, yekuna nisbətən (faiz)",Lokal şəbəkə (LAN) (faiz),daxili şəbəkə (intranet) (faiz),xarici şəbəkə (ekstranet) (faiz),Ayrılmış xətt vasitəsilə (faiz),"İnternetə qoşulma növünə görə müəssisələrin bölgüsü, yekuna nisbətən (faiz)",Kabelli modem vasitəsilə (faiz),xDSL vasitəsilə (faiz),ISDN vasitəsilə (faiz),Fiberoptik kabel vasitəsilə (faiz),Sabit simsiz internet vasitəsilə (faiz),Simsiz internet vasitəsilə (faiz),Peyk vasitəsilə (faiz),Mobil internet vasitəsilə (faiz)
2024,,72.2,40.3,62.6,33.6,11.6,100.0,57.1,35.9,7.0,8.8,100.0,41.3,5.9,0.0,31.8,2.2,5.7,0.3,4.0
2023,,66.6,36.6,56.0,30.1,10.6,100.0,53.9,38.3,7.8,9.1,100.0,49.2,7.1,0.0,21.7,2.1,6.0,0.6,4.2
2022,,65.8,36.2,54.8,29.4,10.5,100.0,53.3,38.7,8.0,9.1,100.0,49.7,12.4,0.0,17.6,2.1,5.4,0.3,3.4
2021,,65.2,35.8,54.2,28.1,10.2,100.0,66.8,25.7,7.5,8.3,100.0,50.8,9.6,5.5,15.3,2.0,5.0,0.3,3.2
2020,,63.9,35.1,52.5,26.9,9.9,100.0,66.1,26.1,7.8,8.5,100.0,49.3,11.3,4.9,14.3,1.9,5.7,0.4,3.7
2019,,62.8,33.9,51.5,25.7,9.8,100.0,69.3,23.3,7.4,7.1,100.0,51.1,12.3,5.8,12.2,1.9,5.2,0.6,3.8
2018,,67.2,33.4,52.9,25.3,12.3,100.0,48.7,21.7,5.2,27.7,100.0,28.7,17.6,2.9,10.8,12.3,6.3,5.4,-
2017,,66.9,30.7,52.5,23.1,12.2,100.0,48.4,21.4,4.8,27.3,100.0,30.7,18.8,2.6,9.1,11.5,6.3,5.3,-
2016,,65.3,29.6,51.6,21.9,11.9,100.0,47.8,22.0,6.4,24.8,100.0,34.1,21.1,2.4,8.2,9.4,6.2,5.2,-
2015,,63.1,28.0,48.0,20.4,11.9,100.0,48.0,22.2,5.6,23.6,100.0,33.4,21.8,2.5,10.6,8.1,6.0,5.8,-
2014,,58.6,23.2,45.7,16.5,10.4,100.0,46.0,22.4,5.5,20.1,100.0,35.3,24.9,2.8,9.3,7.6,6.0,5.5,-
2013,,57.8,21.6,42.2,14.4,9.3,100.0,48.6,27.4,1.7,24.4,100.0,29.5,26.0,3.0,10.3,6.8,6.1,5.6,-
2012,,57.1,18.5,40.9,10.9,9.2,100.0,47.7,27.9,1.7,27.8,100.0,28.1,25.3,3.2,9.3,6.3,5.9,5.5,-
2011,,56.3,17.7,35.6,10.3,9.0,100.0,44.9,29.5,1.8,44.9,100.0,20.3,15.2,3.7,9.8,6.1,5.4,5.0,-
2010,,47.3,15.8,27.9,7.1,4.9,100.0,41.5,32.4,2.0,50.7,100.0,12.3,23.1,3.4,6.0,4.5,3.5,1.9,-
2009,,24.2,14.5,13.8,5.0,2.2,100.0,39.0,34.6,2.6,59.5,100.0,9.8,14.2,4.3,8.6,3.6,3.1,1.5,-
2008,,23.7,12.2,11.7,4.0,2.0,100.0,46.7,30.4,2.3,62.1,100.0,6.2,12.5,3.6,10.6,5.0,2.3,1.0,-
2007,,22.8,10.2,10.6,3.5,2.0,100.0,50.1,30.3,2.2,62.7,100.0,6.0,10.0,3.8,11.8,5.7,0.9,0.0,-
2006,,21.0,8.9,3.9,1.6,1.3,100.0,59.9,26.3,2.1,65.3,100.0,4.2,10.3,3.6,11.9,4.7,0.0,0.0,-
2005,,20.5,6.7,3.8,1.2,1.2,100.0,56.5,26.0,2.0,57.7,100.0,9.2,5.2,4.8,18.9,4.2,0.0,0.0,-
