Year,,Digər ölkələr (min ABŞ dollar),Albaniya (min ABŞ dollar),Almaniya (min ABŞ dollar),Angilya (min ABŞ dollar),Anqola (min ABŞ dollar),Argentina (min ABŞ dollar),Avstraliya (min ABŞ dollar),Avstriya (min ABŞ dollar),Banqladeş (min ABŞ dollar),Belçika (min ABŞ dollar),Bəhreyn (min ABŞ dollar),Birləşmiş Ərəb Əmirlikləri (min ABŞ dollar),Böyük Britaniya və Şimali İrlandiyanın Birləşmiş Krallığı (min ABŞ dollar),Amerika Birləşmiş Ştatları (min ABŞ dollar),Bolqarıstan (min ABŞ dollar),Braziliya (min ABŞ dollar),Virgin adaları (Britaniya) (min ABŞ dollar),Cənubi Afrika Respublikası (min ABŞ dollar),Çexiya Respublikası (min ABŞ dollar),Çili (min ABŞ dollar),Çin (min ABŞ dollar),Çinin xüsusi inzibati rayonu Honkonq (min ABŞ dollar),Danimarka (min ABŞ dollar),Dominikan Respublikası (min ABŞ dollar),Ekvador (min ABŞ dollar),Estoniya (min ABŞ dollar),Əfqanıstan (min ABŞ dollar),Əlcəzair (min ABŞ dollar),Filippin (min ABŞ dollar),Finlandiya (min ABŞ dollar),Fransa (min ABŞ dollar),Cəbəllütariq (min ABŞ dollar),Hindistan (min ABŞ dollar),Honduras (min ABŞ dollar),Xorvatiya (min ABŞ dollar),İndoneziya (min ABŞ dollar),İordaniya (min ABŞ dollar),İraq (min ABŞ dollar),İran İslam Respublikası (min ABŞ dollar),İrlandiya (min ABŞ dollar),İslandiya (min ABŞ dollar),İspaniya (min ABŞ dollar),İsrail (min ABŞ dollar),İsveçrə (min ABŞ dollar),İsveç (min ABŞ dollar),İtaliya (min ABŞ dollar),Kamerun (min ABŞ dollar),Kanada (min ABŞ dollar),Şimali Makedoniya Respublikası (min ABŞ dollar),Keniya (min ABŞ dollar),Kipr (min ABŞ dollar),Kolumbiya (min ABŞ dollar),Konqo (min ABŞ dollar),Koreya Xalq Demokratik Respublikası (min ABŞ dollar),Koreya Respublikası (min ABŞ dollar),Kosta-Rika (min ABŞ dollar),Kuba (min ABŞ dollar),Küveyt (min ABŞ dollar),Qətər (min ABŞ dollar),Qvineya (min ABŞ dollar),Laos Xalq Demokratik Respublikası (min ABŞ dollar),Latviya (min ABŞ dollar),Lixtenşteyn (min ABŞ dollar),Litva (min ABŞ dollar),Livan (min ABŞ dollar),Lüksemburq (min ABŞ dollar),Macarıstan (min ABŞ dollar),Malayziya (min ABŞ dollar),Mali (min ABŞ dollar),Malta (min ABŞ dollar),Meksika (min ABŞ dollar),Mərakeş (min ABŞ dollar),Mərkəzi Afrika Respublikası (min ABŞ dollar),Misir (min ABŞ dollar),Namibiya (min ABŞ dollar),Nauru (min ABŞ dollar),Niderland (min ABŞ dollar),Nigeriya (min ABŞ dollar),Norveç (min ABŞ dollar),Oman (min ABŞ dollar),Pakistan (min ABŞ dollar),Panama (min ABŞ dollar),Peru (min ABŞ dollar),Polşa (min ABŞ dollar),Portuqaliya (min ABŞ dollar),Puerto-Riko (ABŞ) (min ABŞ dollar),Rumıniya (min ABŞ dollar),Salvador (min ABŞ dollar),Seneqal (min ABŞ dollar),Serbiya (min ABŞ dollar),Seyşel adaları (min ABŞ dollar),Səudiyyə Ərəbistanı (min ABŞ dollar),Sinqapur (min ABŞ dollar),Slovakiya (min ABŞ dollar),Sloveniya (min ABŞ dollar),Suriya Ərəb Respublikası (min ABŞ dollar),Şri-Lanka (min ABŞ dollar),Tailand (min ABŞ dollar),Tayvan (Çinin əyaləti) (min ABŞ dollar),Trinidad və Tobaqo (min ABŞ dollar),Tunis (min ABŞ dollar),Türkiyə (min ABŞ dollar),Venesuela (min ABŞ dollar),Vyetnam (min ABŞ dollar),Yamayka (min ABŞ dollar),Yaponiya (min ABŞ dollar),Yeni Zelandiya (min ABŞ dollar),Yəmən (min ABŞ dollar),Yunanıstan (min ABŞ dollar),Zimbabve (min ABŞ dollar),Burkina-Faso (min ABŞ dollar),Ekvatorial-Qvineya (min ABŞ dollar),Liviya (min ABŞ dollar),Papua-Yeni Qvineya (min ABŞ dollar),Turk və Kaykos adaları (Britaniya) (min ABŞ dollar),Boliviya (min ABŞ dollar),Bosniya və Herseqovina (min ABŞ dollar),Bruney-Darüssalam (min ABŞ dollar),Cibuti (min ABŞ dollar),Həbəşistan (min ABŞ dollar),Kamboca (min ABŞ dollar),Qabon (min ABŞ dollar),Qana (min ABŞ dollar),Marşal adaları (min ABŞ dollar),Monqolustan (min ABŞ dollar),Nepal (min ABŞ dollar),Niger (min ABŞ dollar),Ruanda (min ABŞ dollar),Surinam (min ABŞ dollar),Syerra-Leone (min ABŞ dollar),Tuvalu (min ABŞ dollar),Virgin adaları (ABŞ) (min ABŞ dollar),Fici (min ABŞ dollar),Qəmər adaları (min ABŞ dollar),Sudan (min ABŞ dollar),Zambiya (min ABŞ dollar),Paraqvay (min ABŞ dollar),Baham adaları (min ABŞ dollar),Gürcüstan (min ABŞ dollar),Bermud adaları (min ABŞ dollar),Ölkə təyin olunmayıb (min ABŞ dollar),Nikaraqua (min ABŞ dollar),Benin (min ABŞ dollar),Kayman adaları (min ABŞ dollar),Konqo Demokratik Respublikası (min ABŞ dollar),Mozambik (min ABŞ dollar),Antil adaları (Niderland) (min ABŞ dollar),Aruba (min ABŞ dollar),Maldiv adaları (min ABŞ dollar),Monteneqro (min ABŞ dollar),Birləşmiş Tanzaniya Respublikası (min ABŞ dollar),San-Marino (min ABŞ dollar),Toqo (min ABŞ dollar),Men adası (min ABŞ dollar),Monako (min ABŞ dollar),Mavrikiya (min ABŞ dollar),Uqanda (min ABŞ dollar),Uruqvay (min ABŞ dollar),Kurasao (min ABŞ dollar),Kot-divuar (min ABŞ dollar),Mavritaniya (min ABŞ dollar),Çad (min ABŞ dollar),Dominika (min ABŞ dollar),Fələstin (min ABŞ dollar),Kabo-Verde (min ABŞ dollar),Niue (Yeni Zelandiya) (min ABŞ dollar),Beliz (min ABŞ dollar),Fransa Qvianası (min ABŞ dollar),Liberiya (min ABŞ dollar),Martinika (min ABŞ dollar),Mayotta (min ABŞ dollar),Myanma (min ABŞ dollar),Qayana (min ABŞ dollar),Amerika Samoası,Andorra,Barbados,Burundi,Butan,Çinin xüsusi inzibati rayonu Makao,Eritreya,Farer adaları,Haiti,Hernsi adası,Qrenada,Qrenlandiya,Quam (ABŞ),Qvatemala,Lesoto,Madaqaskar,Malavi,Pitkern (Britaniya),Reyunyon (Fransa),Svazilend,Şimali Maryana adaları (ABŞ),Timor-Leste,Tokelau (Yeni Zelandiya),Vollis və Futuna adaları (Fransa),Aland adaları,Antiqua və Barbuda,Fransa Polineziyası,Qambiya,Qvineya-Bissau,Normand adaları,Samoa,Solomon adaları,Somali,Vanuatu,Yeni Kaledoniya (Fransa),Sint-Marten (Niderland)
2024,,24855641.2,1827.1,776979.8,-,98.2,892.9,203.0,50644.5,3158.0,17520.1,299.5,57764.1,407744.4,135030.9,683049.0,13827.3,-,398.7,1088485.9,0.8,19700.0,3900.0,124.7,40.3,479.7,9735.4,513.7,2538.7,0.3,174.6,96304.1,-,734416.4,-,873440.8,179802.6,806.4,23738.5,14008.3,139782.1,-,163696.2,733528.2,220429.7,1400.3,10875130.2,-,1294.4,4.9,55.0,10760.0,2936.2,-,-,500.5,-,-,612.0,3007.2,-,-,5876.6,-,5541.3,1679.4,29771.7,7512.2,1862.9,-,14375.1,79.4,110.9,36.4,5018.8,27.1,-,149971.0,13.1,8125.6,66189.2,196.7,-,43.9,68315.6,631357.5,-,476867.8,124.7,72.3,181252.8,-,2803.2,5160.5,122.3,8130.6,888.9,-,234246.6,61.6,15.2,279670.1,3819407.9,-,78783.2,-,18946.2,65.3,1770.0,626591.0,-,-,189.6,1800.8,-,-,-,1068.1,696.1,-,-,905.0,8.3,4.0,-,149.6,-,-,-,-,-,-,-,-,-,1207.5,1674.7,-,-,675192.7,39.2,2819.7,-,-,34.9,-,3.6,-,6.5,18.8,30.1,48.3,135.5,-,65.4,-,-,-,85099.8,-,-,-,-,-,1743.4,-,-,-,-,-,-,-,820.6,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,-,-,-,-,-,-,-,-
2023,,32245363.7,950.9,907923.0,-,158.9,-,29251.9,153795.1,1959.8,20091.7,333.2,74200.3,447910.5,16011.4,481926.3,148.4,-,328.4,684215.5,0.7,78739.1,2342.7,558.2,146.3,-,6347.5,276.9,1551.2,-,346.6,133219.5,-,1234731.0,-,590440.5,150790.4,628.4,19487.0,14307.4,369729.4,-,785367.8,1401607.3,175375.1,1561.8,15208067.6,14.1,1405.7,11.1,408.2,16825.4,462.2,0.5,-,526.3,-,-,459.5,2402.9,-,-,45181.0,-,2401.4,987.9,36629.0,4794.5,39697.4,29.3,37586.8,297.0,101.7,-,1000.8,7.6,-,44220.4,463.6,1722.4,800.6,6884.4,430.0,87.9,11559.4,299628.3,-,604469.4,-,193.7,495.0,-,4902.5,95131.1,94.3,11124.9,187.1,0.9,26122.2,216.0,5.9,80141.5,5359328.1,-,345757.1,-,16861.4,24.2,1724.8,1363448.3,-,-,-,19804.1,128.1,-,-,5.7,36.7,-,-,2.3,27.9,59.8,340.0,231.6,-,-,-,-,-,-,-,-,-,14.2,-,-,-,759444.5,17.9,2064.8,-,-,141.7,-,-,-,36.6,-,2.6,1.3,167.7,119.8,74.1,-,-,17.1,-,-,1.3,114.7,-,-,210.9,-,-,-,-,-,-,-,209.9,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,,36511371.3,364.6,591301.1,-,202.5,11314.2,139202.0,90762.6,1859.3,11041.1,656.3,71684.5,779521.5,90337.9,292122.3,19731.4,-,130.8,922190.6,-,72771.7,1310.9,252.1,-,13.3,2234.9,783.0,366.3,38.1,497.6,50992.0,-,1662623.9,-,952396.7,606043.5,253.0,28782.6,29831.0,400008.7,11.3,1008998.2,1682726.0,430855.1,18935.5,17782508.1,-,640.2,-,-,9851.7,32.8,-,-,295.3,-,-,579.2,3575.6,-,-,27602.3,-,6505.6,27013.2,80005.5,2322.8,38889.2,-,22371.5,33.5,-,-,2554.3,168.8,-,131962.2,471.1,65553.4,1042.4,7666.7,17.5,656.3,21455.1,743407.5,-,446866.0,-,60.9,1743.4,-,3257.5,1320.6,266.3,1162.3,36.2,1.7,257352.9,207637.4,10.4,499103.5,3544755.9,23.7,491675.8,-,14027.6,75.3,1193.8,1391812.2,-,-,7.7,56110.5,-,-,0.3,2940.3,30.8,-,136.8,0.8,3.3,37.9,-,343.5,-,-,-,-,86.1,-,-,-,-,172.3,-,-,-,635656.8,136.0,1429.1,-,77.4,13.5,-,2.6,-,38.7,81.4,-,-,396.8,185.2,182.5,-,-,-,-,-,108.5,1.8,-,-,195.5,-,-,-,-,-,-,-,264.6,17.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,,20417959.7,4293.1,650258.5,-,123.7,11.8,21309.7,139980.4,290.2,33156.5,5.8,14042.3,396673.5,75147.3,54041.8,72050.3,-,0.8,263788.9,0.3,141148.5,2091.9,999.9,0.0,19.0,1796.7,6484.7,9.5,9.6,376.7,64595.2,59598.5,594430.9,0.0,751278.7,87318.6,621.4,23083.1,45600.4,41756.0,6.2,564436.2,898097.0,272667.7,5691.5,9243521.4,32.4,221406.4,326.9,0.0,5659.2,8.2,0.0,0.0,83.8,0.0,19.8,288.3,1490.4,-,0.0,9878.8,0.0,13904.1,33980.6,26902.0,1793.2,512.7,0.0,16581.9,467.3,12.0,0.0,33200.5,0.0,0.0,39690.3,84.7,858.5,503.1,738.7,0.0,0.0,5457.2,587440.3,0.0,120591.5,0.0,393.7,1189.9,0.0,12467.7,824.7,1143.3,4271.7,120.6,0.0,134160.6,38.5,160.0,577312.2,2818116.6,0.0,73055.0,0.0,15819.6,106.9,761.8,415415.9,0.0,0.0,-,27879.4,-,-,0.0,0.0,33.9,17.5,40.8,0.0,12.1,146.5,-,158.5,0.0,0.0,0.0,0.0,120.6,-,-,-,0.0,88.3,0.0,0.0,0.0,661042.7,31.8,488.4,0.0,159.9,19.3,41.3,0.7,-,14.0,68.6,0.6,0.0,144.7,18575.9,68.4,0.0,0.0,0.0,0.0,-,310.0,0.0,0.0,0.0,149.2,-,0.0,-,-,-,0.0,-,143.9,99.5,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0,0.0,0.0,-,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,0.0,-,-,-,-,17.5,0.0,-,0.0
2020,,12426740.7,0.0,234109.3,-,17.3,5508.5,70687.7,127581.4,359.6,1174.2,20.1,10706.2,157527.0,24935.8,553.4,6594.3,0.0,15.9,229679.0,0.0,432760.5,7446.2,49789.9,0.0,8.3,1593.3,37724.6,9.3,0.0,223.1,110662.5,3277.6,456784.5,0.0,470818.9,458.5,340.4,11212.3,38485.7,142.8,15.6,329270.3,437500.1,214895.3,968.2,4172267.9,0.0,594.5,8.4,0.1,2821.2,656.9,3151.8,-,82.6,0.0,0.1,255.8,1290.7,29.2,0.0,873.8,0.0,2366.3,608.3,22649.4,1071.7,60658.3,0.0,9616.7,202.8,206.5,-,624.9,0.0,0.0,7928.0,156.7,804.1,2282.0,1657.6,0.0,0.0,4766.1,239779.1,0.0,101475.7,0.0,44.9,1196.2,1.8,1789.4,48500.1,44.3,0.0,0.0,0.0,129688.7,48034.6,169.7,312287.7,2597747.0,0.0,174928.8,0.0,5373.5,79.8,279.0,523303.2,0.0,-,-,7454.4,38.3,0.0,10.0,0.0,17.3,-,0.0,0.0,-,23.3,-,109.2,0.0,0.0,0.0,0.0,36.4,-,0.0,0.0,-,0.0,0.0,0.0,-,461909.4,19.0,331.5,0.0,0.0,16.4,0.0,-,-,6.9,54.6,7.7,0.0,40.5,-,85.6,0.0,0.0,0.0,0.0,-,194.4,0.0,0.0,0.0,0.0,-,0.0,-,-,-,-,-,158.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2019,,18456763.9,0.0,931617.5,0.0,22.3,41.1,40087.9,185734.9,254.3,6535.5,205.1,19141.1,471947.8,24126.6,79696.7,5509.7,77.1,19.3,647451.2,0.0,752162.6,4801.7,999.2,0.0,1.1,2594.7,82698.4,347.7,4.9,398.0,536639.3,45927.3,955865.6,0.0,436550.4,366.2,20.0,13600.5,41130.7,39.9,18.7,704459.8,1331616.2,178903.7,467.7,5638641.8,43.9,138215.8,156.7,1.2,13362.9,96.6,4.1,0.0,137.9,0.0,12.1,236.5,1330.4,0.9,0.0,855.4,0.0,2125.3,32.2,17608.4,670.3,596.8,0.0,12493.0,118.1,1.6,0.0,41831.3,5.9,0.0,68000.4,320.3,3594.6,239.3,294.5,0.0,10.2,3875.5,353914.9,0.6,139189.5,0.0,18.0,408.9,0.0,1803.4,1022.0,420.9,26.0,0.0,5.9,359698.1,262197.4,81.4,23.4,2862688.0,20.1,58848.2,0.0,90216.0,111.0,194.8,242758.0,0.0,0.0,0.8,43806.7,0.0,0.0,0.0,16.7,26.1,3.8,1.0,0.0,15.8,26.3,0.0,44.9,0.0,2906.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,586904.1,16.2,1757.4,0.0,0.0,20.8,60.1,17.7,0.0,69.7,0.0,228.8,0.0,0.0,0.0,144.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,,18351776.4,-,787795.4,-,89.2,20.3,429.9,329754.9,484.3,9204.2,330.6,22103.8,261456.0,331458.7,39475.6,1164.7,-,8.7,938383.7,269.0,113573.5,2481.3,839.8,-,19.0,1314.5,71537.9,8.6,34.1,617.3,441590.8,126097.4,819538.3,-,245844.0,597517.4,1448.2,14495.3,31231.7,10015.9,14.0,396368.1,1310824.5,162936.6,828.8,5879774.0,1.4,585275.0,27.8,-,833.2,77.5,20.8,-,124.3,-,-,619.9,3325.4,-,-,2510.9,-,1956.2,14193.9,43858.1,1463.7,769.3,-,69721.4,148.4,0.4,-,318.2,-,-,77982.8,130.5,2841.6,605.6,808.1,-,2.4,7894.8,528717.6,-,338160.8,-,-,31.4,0.8,861.2,6621.6,47.2,8332.4,7.4,-,142054.0,714186.1,34.4,192087.9,1825980.2,-,74881.3,-,10021.2,119.7,-,161147.1,-,-,0.5,-,10.1,-,4.5,-,64.2,-,-,-,86.5,38.6,-,74.5,-,-,-,-,-,-,-,-,-,3.0,-,-,-,498250.6,43.1,1489.6,-,-,-,-,-,-,45.1,5.3,-,-,-,-,223.8,2.3,-,-,81077.6,-,-,6.0,0.2,-,-,-,-,-,-,-,-,-,167.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,,14191481.7,72.2,450462.0,0.0,17.7,16.9,569.7,137552.9,295.0,13258.2,27.0,16700.1,41202.7,61191.6,153.3,112.7,0.0,1.1,556854.9,0.0,443807.3,93.1,1006.2,0.0,2.8,700.0,52239.6,16.7,3.0,748.4,459978.6,0.0,404067.7,0.0,212927.5,465126.4,4146.9,15724.7,16794.1,5.5,4.6,384222.1,638938.4,182988.8,437.0,5352488.5,6.1,593761.3,0.0,148.7,40486.0,71.2,29.0,0.0,208.1,0.0,0.0,84.3,4702.1,0.0,0.0,2028.1,0.0,2304.5,32884.3,15552.9,1982.1,4464.1,0.0,36886.6,132.0,2.8,0.0,1482.9,0.0,0.0,86670.1,507.9,1680.6,73.1,1826.4,0.0,1.8,8706.5,501617.8,0.0,267229.9,0.0,0.0,18.0,0.0,1278.7,418.9,89.9,5274.4,0.0,0.0,109405.9,267294.3,59.4,182237.3,1393786.1,107.7,55140.1,0.0,4354.9,107.0,0.0,159548.2,0.0,0.0,0.0,0.1,11.9,0.0,6.8,14.7,90.0,298.1,0.0,402.5,0.0,0.2,0.0,65.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,487757.2,9.9,1519.2,0.0,0.0,0.0,0.0,3.2,0.0,18.4,0.0,24.3,0.0,0.0,0.0,90.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,58.1,0.0,0.0,1425.4,24.5,29.4,1.6,0.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,,12793995.0,19.4,610831.4,0.0,157.5,46.6,181.2,112651.9,0.4,6454.7,97.0,11578.1,79918.6,80650.1,386.3,2881.7,0.0,278.0,214366.2,0.0,382027.1,110.1,106.9,0.0,5.6,660.7,44260.3,11240.6,11.6,269.8,626433.9,0.0,551966.6,0.0,264015.3,77457.1,2734.1,17780.6,49684.6,23410.9,2.7,495148.7,664113.1,101669.5,340.8,4333747.1,0.5,98132.4,6.3,4.2,1113.8,108.0,0.0,0.0,122.2,0.3,1.1,210.7,107.9,0.0,0.0,853.4,0.0,2398.6,42664.5,9580.1,911.0,81325.1,0.0,130031.4,288.0,0.0,0.0,11857.6,0.0,0.0,38295.9,44.2,3130.8,127.3,1433.2,0.0,192.7,4821.3,331278.9,0.0,111673.0,0.0,0.0,4.3,0.7,539.5,894.4,130.8,4172.5,0.0,0.1,123401.4,921010.8,20.3,211493.9,1185663.1,228.3,48899.5,0.7,31749.8,82.4,0.0,201377.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,3.6,0.0,0.0,0.0,2.1,5.5,0.0,80.7,44.7,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,238.7,0.0,0.0,416644.0,0.9,785.4,0.0,0.0,0.0,0.0,102.0,0.0,4.1,0.0,16.5,0.9,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,8.9,0.0,15.3,7.1,119.0,7778.4,12.2,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,,12202764.3,0.0,1223961.8,0.0,101.4,8.0,613.7,407346.5,0.0,13028.2,40.7,5613.7,10417.9,337704.4,497.9,192.3,0.0,4.7,549516.3,0.0,53194.8,567.1,72.0,0.0,3.6,253.4,208426.6,133.9,108.6,189.2,864101.1,82732.6,270235.1,0.0,199208.6,477818.9,13.8,187480.5,34257.0,52235.8,9.6,316057.4,801533.4,96792.3,134.4,2254330.5,2.0,223722.6,0.0,15.6,8.6,54.2,554.6,0.0,38.8,0.0,5.8,46.9,484.3,0.1,0.0,800.5,0.0,512.9,11399.2,179.8,240.9,11159.9,0.0,141929.3,42.6,53.6,0.0,109.5,0.0,0.0,101792.1,13.5,1091.9,12.4,293.6,70.2,4.2,6509.0,368874.4,0.0,83934.5,0.0,0.0,41.0,0.0,184.8,281.7,55.6,9429.9,0.0,0.0,259115.7,112460.6,18.9,291730.1,1477256.7,67.2,3880.1,0.1,871.3,0.0,0.0,145748.3,0.0,0.0,0.0,799.7,8.2,0.0,0.0,0.5,224.6,0.0,0.0,0.0,100.5,207.7,0.0,172.5,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1,0.0,0.0,0.0,496196.8,8.4,803.4,0.0,0.0,2.7,0.0,2.0,0.0,7.7,0.0,3.8,0.0,0.0,0.0,78.9,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
